Timestamp,BrokerID,Price,Side,Size,Action,Position,Condition Codes,Broker Name
09:58.0,5512,2.56,BID,10000,New Order,21,,Everbright Securities Investment Services (HK) Limited
09:59.2,5338,2.61,ASK,14000,New Order,4,,J.P. Morgan Broking (Hong Kong) Limited
09:59.4,104,2.66,ASK,4000,Removed Order,31,,Core Pacific - Yamaichi International (H.K.) Limited
09:59.4,104,2.61,ASK,4000,New Order,5,,Core Pacific - Yamaichi International (H.K.) Limited
10:00.4,8167,2.6,BID,10000,New Order,1,,BOCI Securities Limited
10:01.4,1166,2.59,BID,30000,New Order,7,,ABCI Securities Company Limited
10:07.1,6996,2.6,BID,40000,New Order,2,,China Investment Information Services Limited
10:07.3,5346,2.6,BID,3000,New Order,3,,J.P. Morgan Broking (Hong Kong) Limited
10:07.6,2420,2.61,ASK,11000,Trade,1,,Barclays Capital Asia Limited
10:07.6,2423,2.61,ASK,19000,Trade,1,,Barclays Capital Asia Limited
10:07.6,2423,2.61,ASK,1000,Trade,1,,Barclays Capital Asia Limited
10:07.6,5342,2.61,ASK,8000,Trade,1,Y,J.P. Morgan Broking (Hong Kong) Limited
10:07.6,5342,2.61,ASK,1000,Trade,1,,J.P. Morgan Broking (Hong Kong) Limited
10:08.9,5342,2.61,ASK,5000,Trade,1,,J.P. Morgan Broking (Hong Kong) Limited
10:10.0,5338,2.61,ASK,14000,Removed Order,2,,J.P. Morgan Broking (Hong Kong) Limited
10:12.8,6387,2.6,BID,10000,New Order,4,,Morgan Stanley Hong Kong Securities Limited
10:13.8,5999,2.6,BID,4000,New Order,5,,China Innovation Market Service Company Limited
10:13.8,5342,2.61,ASK,1000,Trade,1,,J.P. Morgan Broking (Hong Kong) Limited
10:13.8,5342,2.61,ASK,4000,Removed Order,1,,J.P. Morgan Broking (Hong Kong) Limited
10:15.3,1172,2.55,BID,100000,New Order,35,,Huatai Financial Holdings (Hong Kong) Limited
10:29.2,8464,2.6,BID,30000,New Order,6,,Futu Securities International (Hong Kong) Limited
10:30.3,104,2.61,ASK,1000,Trade,1,,Core Pacific - Yamaichi International (H.K.) Limited
10:38.2,108,2.58,BID,4000,New Order,19,,Core Pacific - Yamaichi International (H.K.) Limited
10:44.0,5999,2.6,BID,4000,Removed Order,5,,China Innovation Market Service Company Limited
10:45.3,104,2.61,ASK,1000,Trade,1,,Core Pacific - Yamaichi International (H.K.) Limited
10:52.4,1166,2.59,BID,30000,Removed Order,11,,ABCI Securities Company Limited
